clienteNome;dataVencimento;valor;classificação;;;;
Cliente 1;15/02/2023;1000;1;;;;
Cliente 2;16/02/2023;1000;2;;;;
Cliente 3;17/02/2023;1000;3;;;;
Cliente 4;18/02/2023;1000;4;;;;
Cliente 5;19/02/2023;1000;5;;;;
Cliente 6;20/02/2023;1000;6;;;;
Cliente 7;21/02/2023;1000;7;;;;
Cliente 8;22/02/2023;1000;8;;;;
Cliente 9;23/02/2023;1000;9;;;;
Cliente 10;24/02/2023;1000;10;;;;
Cliente 11;25/02/2023;1000;1;;;;
Cliente 12;26/02/2023;1000;2;;;;
Cliente 13;27/02/2023;1000;3;;;;
Cliente 14;28/02/2023;1000;4;;;;
Cliente 15;01/03/2023;1000;5;;;;
Cliente 16;02/03/2023;1000;6;;;;
Cliente 17;03/03/2023;1000;7;;;;
Cliente 18;04/03/2023;1000;8;;;;
Cliente 19;05/03/2023;1000;9;;;;
Cliente 20;06/03/2023;1000;10;;;;
Cliente 21;07/03/2023;1000;1;;;;
Cliente 22;08/03/2023;1000;2;;;;
Cliente 23;09/03/2023;1000;3;;;;
Cliente 24;10/03/2023;1000;4;;;;
Cliente 25;11/03/2023;1000;5;;;;
Cliente 26;12/03/2023;1000;6;;;;
Cliente 27;13/03/2023;1000;7;;;;
Cliente 28;14/03/2023;1000;8;;;;
Cliente 29;15/03/2023;1000;9;;;;
Cliente 30;16/03/2023;1000;10;;;;
Cliente 31;17/03/2023;1000;1;;;;
Cliente 32;18/03/2023;1000;2;;;;
Cliente 33;19/03/2023;1000;3;;;;
Cliente 34;20/03/2023;1000;4;;;;
Cliente 35;21/03/2023;1000;5;;;;
Cliente 36;22/03/2023;1000;6;;;;
Cliente 37;23/03/2023;1000;7;;;;
Cliente 38;24/03/2023;1000;8;;;;
Cliente 39;25/03/2023;1000;9;;;;
Cliente 40;26/03/2023;1000;10;;;;
Cliente 41;26/03/2022;5000;8;;;;
Cliente 42;26/03/2024;5000;8;;;;
